"site_year","date","GPP.mean","GPP.2.5.pct","GPP.97.5.pct","GPP_Rhat","ER.mean","ER.2.5.pct","ER.97.5.pct","ER_Rhat","NEP.mean","NEP.2.5.pct","NEP.97.5.pct","K600_daily_mean","K600_daily_Rhat","discharge_m3_s"
"sfkeel_mir_2022",2022-07-10,4.87280674041609,3.5994275593361,6.16077804520012,0.999725453118412,-4.24406797172534,-5.97162360746918,-2.47731980796714,0.999741222348962,0.628738768690752,-2.37219604813308,3.68345823723297,4.40335044517613,0.999466784175273,3.39847068819031
"sfkeel_mir_2022",2022-07-11,5.6889119323962,4.48559121608098,6.90901694712394,0.99946376986095,-4.80725480075389,-6.46984357992231,-3.13978970464795,0.99995588669474,0.881657131642314,-1.98425236384132,3.769227242476,4.11862044414022,0.999755531000931,3.20022656471255
"sfkeel_mir_2022",2022-07-12,6.03238312401803,4.80007299777341,7.27942578324392,0.999403627771014,-4.82930366381504,-6.49903748113139,-3.19981531744616,0.999586137384238,1.203079460203,-1.69896448335797,4.07961046579776,4.08050359706272,0.999750515542286,3.03030303030303
"sfkeel_mir_2022",2022-07-29,7.0333380787953,5.91114349958798,8.11080771940083,0.999587176239139,-5.54638620798912,-7.04766368638066,-4.06992127866299,0.999381567787931,1.48695187080617,-1.13652018679267,4.04088644073784,3.52947472385218,0.999324218364464,1.48683092608326
"sfkeel_mir_2022",2022-07-30,6.58293407323809,5.52087025938722,7.61097604393759,1.00073415131628,-5.34786677973879,-6.83861263525527,-3.85552293794734,0.999352044804496,1.2350672934993,-1.31774237586805,3.75545310599025,3.26288097691565,1.00282741960266,1.45567827810818
"sfkeel_mir_2022",2022-07-31,6.33859530874946,5.28044157077265,7.43241771685195,0.999435929481016,-5.23120402852271,-6.75686463805721,-3.68651514227118,0.999532933045437,1.10739128022676,-1.47642306728456,3.74590257458078,3.23365070060378,0.999601160563602,1.42735768903993
"sfkeel_mir_2022",2022-08-01,7.00394327355066,5.99754685992482,7.99408169636074,0.9994320370831,-5.69336280728228,-7.1531749219566,-4.24815276477562,0.999184436136333,1.31058046626838,-1.15562806203178,3.74592893158512,3.56411343608308,0.999556638565615,1.3905409232512
"sfkeel_mir_2022",2022-08-02,7.01009634878348,5.88290705885643,8.19040315143272,0.999730412023776,-6.19307767906193,-7.73047000610476,-4.69709214656391,1.00031791641931,0.817018669721553,-1.84756294724833,3.4933110048688,4.05775654132278,0.999318366241384,1.39903709997168
"sfkeel_mir_2022",2022-08-03,6.11155717531339,4.95130294193936,7.24557997723847,0.999820306590561,-6.09892368869658,-7.61457294248331,-4.5328937342748,0.999680303670347,0.0126334866168074,-2.66327000054395,2.71268624296367,4.00765096544632,0.99986361604242,1.39337298215803
"sfkeel_mir_2022",2022-08-04,6.05413313147851,4.96659708460413,7.13172078604576,0.999502857023649,-5.85111506518504,-7.41122778481617,-4.33735251639543,0.999232609876224,0.203018066293466,-2.44463070021204,2.79436826965033,3.70178925519212,0.999435291485976,1.33106768620787
"sfkeel_mir_2022",2022-08-05,6.44259068137932,5.37906645766239,7.49423444367438,0.99918408955558,-6.29477950408389,-7.75303641974578,-4.84430869121115,0.999473826393407,0.147811177295425,-2.37396996208339,2.64992575246323,3.66499605321395,0.999739351692351,1.23477768337581
"sfkeel_mir_2022",2022-08-06,6.35417725692887,5.32888943052621,7.34249320312941,0.999268680765873,-6.68317781915814,-8.17301546180027,-5.22434768224509,0.999476612148462,-0.329000562229266,-2.84412603127405,2.11814552088431,3.45119888579989,0.999282161814788,1.16964032851883
"sfkeel_mir_2022",2022-08-07,6.11627170006755,5.10912027956667,7.13036675154775,0.999577135449719,-6.3394552304388,-7.76519189425547,-4.83995879211815,0.99980386875017,-0.223183530371246,-2.65607161468879,2.2904079594296,3.42179022044609,1.00003675251298,1.14698385726423
"sfkeel_mir_2022",2022-08-08,6.28515112418101,5.29227904133675,7.31240521536496,0.999789939037389,-6.02112505819558,-7.45352036679598,-4.6260197348978,0.999284964697244,0.264026065985435,-2.16124132545923,2.68638548046717,3.50409490790577,0.999638452572224,1.15831209289153
"sfkeel_mir_2022",2022-08-09,6.06097022238085,5.06066448703146,7.08484805165426,1.00027434071888,-5.98064297025911,-7.45610173011425,-4.55355587067965,0.999332479550128,0.0803272521217453,-2.3954372430828,2.5312921809746,3.498903589875,0.999608917612299,1.17530444633248
"sfkeel_mir_2022",2022-08-10,5.79508955910716,4.74800594393314,6.85559714257936,0.999750957161264,-5.53120824085115,-6.95721993065703,-4.05693089592896,0.999618153704945,0.263881318256014,-2.2092139867239,2.7986662466504,3.59964957204417,0.999687683121369,1.18096856414613
"sfkeel_mir_2022",2022-08-11,5.96837969832347,4.95003664593693,6.97508741425961,0.999393150264014,-6.31038939839814,-7.78944367713967,-4.85644074342189,0.999463151957218,-0.34200970007467,-2.83940703120275,2.11864667083772,3.1966472404763,0.999520159856224,1.19512885868026
"sfkeel_mir_2022",2022-08-12,5.44382800583166,4.42705785731902,6.41933887090575,0.999560007921067,-5.85735405215848,-7.33462300831132,-4.37608338727599,0.999252668748714,-0.413526046326817,-2.9075651509923,2.04325548362976,3.29250491317543,0.999639475143739,1.19796091758709
"sfkeel_mir_2022",2022-08-13,5.21066597488948,4.18314329783226,6.19770274450435,0.999667083237201,-4.97891672650541,-6.41520338565227,-3.55342246840149,1.00006485186112,0.231749248384072,-2.23206008782001,2.64428027610286,3.67456215921973,0.999621390298028,1.19512885868026
"sfkeel_mir_2022",2022-08-14,5.34664530506647,4.36353895894463,6.3576152523851,1.00021778038252,-4.87612738565089,-6.36605561383379,-3.45729172086565,0.999351699164799,0.470517919415586,-2.00251665488916,2.90032353151945,3.55529887566828,0.999882917222363,1.16397621070518
"sfkeel_mir_2022",2022-08-15,5.11793796566879,4.16807673975676,6.08757215481635,0.999427853434215,-4.58749997552084,-5.97719271799838,-3.23357077945557,0.99989173362016,0.530437990147955,-1.80911597824162,2.85400137536078,3.72905510789828,0.999548047719975,1.12715944491645
"sfkeel_mir_2022",2022-08-16,6.0117206212263,5.01226649353707,7.05096613563762,1.0003892228788,-5.2768992032061,-6.72789812115569,-3.8769543737784,0.999608179238086,0.734821418020205,-1.71563162761862,3.17401176185922,3.67737340703356,0.99977173802272,1.07901444350042
"sfkeel_mir_2022",2022-08-17,6.16936653770606,5.15762820743452,7.19401148187771,0.999304965597954,-5.88816758591099,-7.36256462238209,-4.40885955847887,0.999536507151055,0.281198951795062,-2.20493641494757,2.78515192339884,3.42290309079237,0.999538732269079,1.03370150099122
"sfkeel_mir_2022",2022-08-18,5.68323822534494,4.6710588556162,6.71204017901111,0.999701630081139,-6.49387754790296,-7.94741450550384,-5.04234630965397,0.999786032170098,-0.810639322558019,-3.27635564988764,1.66969386935714,3.66346998985549,0.999732131427461,0.97422826394789
"sfkeel_mir_2022",2022-08-19,5.44858805486504,4.44468885175039,6.40267932481953,1.00016433131205,-5.93171169374487,-7.34364559866315,-4.48345069419762,0.999739122171006,-0.48312363887983,-2.89895674691276,1.91922863062191,3.7173461671907,1.00002234728139,0.926083262531861
"sfkeel_mir_2022",2022-08-20,5.48762462077489,4.47347635094545,6.50887961549253,0.999740351753629,-5.64498216657129,-7.10461009540229,-4.19224931652371,0.99919353173014,-0.157357545796401,-2.63113374445684,2.31663029896882,3.6700997105524,1.00131185728983,0.872274143302181
"sfkeel_mir_2022",2022-08-21,5.44277754519512,4.47872844090237,6.40974554966217,1.00036011765655,-5.85732709135873,-7.24253405340709,-4.45199036266456,0.999941302752436,-0.41454954616361,-2.76380561250472,1.95775518699761,3.46226125229651,0.999947744219689,0.815632965165675
"sfkeel_mir_2022",2022-08-22,5.79581956915964,4.76810146770451,6.85443221768444,0.999524297567577,-6.18272640088431,-7.68020906525182,-4.71544077596553,1.00052332818059,-0.386906831724676,-2.91210759754731,2.13899144171891,3.84070904688758,1.00023539302666,0.778816199376947
"sfkeel_mir_2022",2022-08-23,5.39421312908946,4.48062462414307,6.35110625956798,0.999631075760321,-5.46172943729047,-6.78439111834065,-4.07718265332539,0.999168577596121,-0.0675163082010055,-2.30376649419758,2.27392360624259,3.14557645472495,0.999161315701533,0.756159728122345
"sfkeel_mir_2022",2022-08-24,5.9247416414514,4.98631432346613,6.87350366361184,0.999176973797432,-6.12360942459783,-7.52152502566011,-4.73788994015414,0.999830551054067,-0.198867783146434,-2.53521070219398,2.1356137234577,3.17427066521083,0.999589563300481,0.744831492495044
"sfkeel_mir_2022",2022-08-25,6.31832011205187,5.39135086448033,7.21744169706408,0.99937246897218,-6.24710711167179,-7.56126152465271,-4.87316690602724,0.999164571289391,0.0712130003800837,-2.16991066017238,2.34427479103684,3.19339951063166,0.999609126591917,0.730671197960918
"sfkeel_mir_2022",2022-08-26,6.15478911777566,5.1662763329041,7.09444040529171,0.99933854780515,-6.14022882881251,-7.48745386486178,-4.805941313996,0.999781737581485,0.0145602889631489,-2.32117753195768,2.28849909129571,3.24705116155605,0.999803634085193,0.739167374681393
"sfkeel_mir_2022",2022-08-27,5.58017074882915,4.66022355676939,6.50393974942027,0.999467123243637,-5.35919577030591,-6.75673995124024,-4.02731952513889,1.00015525261177,0.220974978523241,-2.09651639447085,2.47662022428139,3.10093047337091,1.00009394373077,0.702350608892665
"sfkeel_mir_2022",2022-08-28,6.14113790684327,5.23505040372473,7.04319142557402,0.999637997893609,-5.61165148344039,-6.93903464003225,-4.31299126622399,0.999805804481296,0.529486423402888,-1.70398423630751,2.73020015935003,3.0623385697091,0.999233606616363,0.682526196544888
"sfkeel_mir_2022",2022-08-29,5.75181117449892,4.76482171033279,6.72424717155957,1.00082706332639,-6.02715137743453,-7.41443182050779,-4.63624559538115,0.999943679079456,-0.275340202935612,-2.64961011017501,2.08800157617842,3.42045343859149,1.00069366463347,0.665533843103936
"sfkeel_mir_2022",2022-08-30,5.72130610196228,4.80900885838254,6.61807657475685,0.999419120262242,-6.1388886695451,-7.48281578703063,-4.79791660918171,0.999502973080073,-0.417582567582826,-2.67380692864809,1.82015996557514,3.11497063501583,0.999376610226608,0.642877371849334
"sfkeel_mir_2022",2022-08-31,5.90516909262073,5.00201558112764,6.81000931538296,0.999393217542285,-6.38297492310708,-7.77398566498394,-5.01733385828267,0.999509169600077,-0.477805830486352,-2.7719700838563,1.79267545710029,3.08325946307914,0.999201045537472,0.625885018408383
"sfkeel_mir_2022",2022-09-01,5.25878182513579,4.34741318240304,6.16141480147199,1.00005531123526,-5.45869509907633,-6.78949666108813,-4.0966332294389,1.00034576658721,-0.199913273940535,-2.44208347868509,2.06478157203309,2.93054918075779,0.999500652953719,0.617388841687907
"sfkeel_mir_2022",2022-09-02,5.30315071024634,4.41760504692139,6.17245373225616,0.999889922632989,-5.87874866086316,-7.21823201928372,-4.58883639489839,0.999969113452958,-0.575597950616825,-2.80062697236233,1.58361733735776,2.8840144919552,1.00004730704268,0.614556782781082
"sfkeel_mir_2022",2022-09-03,5.0057076093685,4.10163857913953,5.88180919731095,0.999619568406633,-5.87387768738789,-7.23443219556034,-4.49662366726866,1.00004805717565,-0.868170078019393,-3.13279361642081,1.38518553004229,2.98194803475209,0.999388861522337,0.606060606060606
"sfkeel_mir_2022",2022-09-04,5.13656718810154,4.24570015776391,6.00251578042789,0.999931372009666,-5.66821074496233,-6.95022249177005,-4.33341347693402,0.999607926957933,-0.531643556860783,-2.70452233400614,1.66910230349388,3.00145060786292,0.999790606706538,0.594732370433305
"sfkeel_mir_2022",2022-09-05,5.5243586573645,4.66598849661327,6.39274031938979,0.99951077675345,-5.93154092589496,-7.20431595246484,-4.6462292190429,0.999777551945274,-0.407182268530454,-2.53832745585157,1.7465111003469,2.95507637620194,1.00040230568295,0.572075899178703
"sfkeel_mir_2022",2022-09-06,5.00750165582416,4.14086234624519,5.88388088994464,1.00030156608999,-5.78185641428643,-7.10766502279123,-4.46131067387689,0.999939269103009,-0.774354758462266,-2.96680267654603,1.42257021606775,2.76862409898796,0.999768956981762,0.5380911922968
"sfkeel_mir_2022",2022-09-07,5.78833186664039,4.93309131881782,6.62537805424577,1.00047912612859,-6.66505717495842,-7.9921785708758,-5.33541223223629,0.999316170519052,-0.876725308318029,-3.05908725205798,1.28996582200948,2.70444751140146,0.99954722825688,0.515434721042198
"sfkeel_mir_2022",2022-09-08,5.32955534295751,4.43356170156465,6.19642888700315,0.999351765724737,-6.38108474958272,-7.74302682930404,-5.00971571907173,0.999464744842506,-1.05152940662521,-3.30946512773938,1.18671316793142,2.75531871489799,0.999510951977147,0.509770603228547
"sfkeel_mir_2022",2022-09-09,5.49008532134428,4.6263066909036,6.34478976914108,0.999731488599588,-6.27807600033353,-7.5782608879878,-4.9612760154982,0.999993451453914,-0.787990678989252,-2.9519541970842,1.38351375364288,2.97878242520685,1.00068291823575,0.478617955253469
"sfkeel_mir_2022",2022-09-10,5.73554603258438,4.89066145409966,6.60649667364511,0.999628154043565,-6.38972412890966,-7.72010077790274,-5.07421516375223,1.00011851096634,-0.654178096325284,-2.82943932380309,1.53228150989289,2.92889956964459,1.00032152071281,0.444633248371566
"sfkeel_mir_2022",2022-09-11,4.1425873286695,3.35320361025674,4.94308354639448,0.999455494955698,-5.471238551301,-6.88642837491097,-4.06032385726993,0.999601669408707,-1.3286512226315,-3.53322476465423,0.882759689124549,1.84374024278205,0.999477219174202,0.441801189464741
"sfkeel_mir_2022",2022-09-12,4.88131576602239,4.04448794259369,5.73487043983598,1.00016047024806,-6.15458795902033,-7.54694295383247,-4.758321013344,0.999460956037911,-1.27327219299794,-3.50245501123878,0.976549426491977,2.70923593544925,0.999572948948474,0.458793542905692
"sfkeel_mir_2022",2022-09-13,4.95740273360453,4.10709852233725,5.81078031073821,0.999938994147481,-5.89136804026184,-7.19774845076086,-4.5818464128831,0.999244265323475,-0.933965306657303,-3.09064992842361,1.22893389785511,2.87821870688973,0.99998635085342,0.461625601812518
"sfkeel_mir_2022",2022-09-14,5.47782442509577,4.62515560608446,6.31394065946787,1.00004702550124,-6.66261223192481,-8.02525145492807,-5.27179737427721,1.00036013988024,-1.18478780682905,-3.40009584884361,1.04214328519067,3.0811139411978,0.9999773117781,0.464457660719343
"sfkeel_mir_2022",2022-09-15,4.31652373693877,3.49865145317781,5.09152622852794,0.999802285631679,-5.32213655058541,-6.64770689753234,-4.02522026903029,1.00013179315749,-1.00561281364664,-3.14905544435453,1.06630595949765,2.67811011356506,0.999689939743251,0.464457660719343
"sfkeel_mir_2022",2022-09-16,4.10550320924374,3.35101032408817,4.8728885305545,0.999278158339013,-4.98480080818512,-6.22753994314196,-3.72848317718765,0.999402824418497,-0.879297598941384,-2.8765296190538,1.14440535336685,2.75288238967593,0.999599905069081,0.472953837439819
